TimeStamp, Temperature, Pressure, Humidity, Wind Speed,  Wind direction
 2021/10/23 9:47:14, 15.8, 59.8, 1001.53, 0.0, 3.0
 2021/10/23 9:47:15, 15.81, 59.97, 1001.56, 0.0, 1.0
 2021/10/23 9:47:16, 15.81, 60.15, 1001.6, 0.0, 2.0
 2021/10/23 9:47:17, 15.82, 60.34, 1001.57, 0.0, 1.0
 2021/10/23 9:47:18, 15.81, 60.44, 1001.53, 0.0, 2.0
 2021/10/23 9:47:19, 15.82, 60.37, 1001.58, 0.0, 2.0
 2021/10/23 9:47:20, 15.83, 60.17, 1001.56, 0.0, 1.0
 2021/10/23 9:47:21, 15.84, 59.98, 1001.53, 0.0, 4.0
 2021/10/23 9:47:22, 15.85, 62.24, 1001.53, 0.0, 2.0
 2021/10/23 9:47:23, 15.87, 63.87, 1001.54, 0.0, 2.0
 2021/10/23 9:47:24, 15.88, 63.94, 1001.51, 0.0, 2.0
 2021/10/23 9:47:25, 15.9, 63.66, 1001.55, 0.0, 2.0
 2021/10/23 9:47:26, 15.91, 63.33, 1001.54, 0.0, 2.0
 2021/10/23 9:47:27, 15.92, 63.05, 1001.54, 0.0, 2.0
 2021/10/23 9:47:28, 15.92, 62.78, 1001.52, 0.0, 2.0
 2021/10/23 9:47:29, 15.93, 62.34, 1001.55, 0.0, 3.0
 2021/10/23 9:47:30, 15.92, 61.93, 1001.5, 0.0, 2.0
 2021/10/23 9:47:31, 15.92, 61.74, 1001.52, 0.0, 3.0
 2021/10/23 9:47:32, 15.93, 61.72, 1001.52, 0.0, 3.0
 2021/10/23 9:47:33, 15.92, 61.69, 1001.54, 0.0, 2.0
 2021/10/23 9:47:34, 15.92, 61.63, 1001.54, 0.0, 2.0
 2021/10/23 9:47:35, 15.92, 61.54, 1001.55, 0.0, 3.0
 2021/10/23 9:47:36, 15.93, 61.44, 1001.54, 0.0, 3.0
 2021/10/23 9:47:37, 15.92, 61.34, 1001.56, 0.0, 2.0
 2021/10/23 9:47:38, 15.92, 61.25, 1001.52, 0.0, 2.0
 2021/10/23 9:47:39, 15.93, 61.17, 1001.55, 0.0, 2.0
 2021/10/23 9:47:40, 15.92, 61.01, 1001.55, 0.0, 3.0
 2021/10/23 9:47:41, 15.92, 60.94, 1001.51, 0.0, 2.0
