tempo,velocità,latitudine,longitudine
828.979533,36.85,45.469809,8.291132
829.911566,37.22,45.469842,8.291257
830.949586,36.85,45.469879,8.29138
831.981511,37.59,45.469916999999995,8.291504
832.921086,37.04,45.469953,8.291627
833.951628,37.59,45.469991,8.29175
834.989641,37.78,45.470031999999996,8.291872999999999
835.931655,37.96,45.470071999999995,8.291997
836.959637,37.59,45.470112,8.292119999999999
837.893139,37.78,45.470151,8.292245
838.927645,37.96,45.470189999999995,8.292368999999999
839.957676,37.78,45.470228999999996,8.292492
840.989698,37.96,45.470268,8.292615
841.919497,37.22,45.470304999999996,8.292738
842.951691,37.59,45.47034,8.292862999999999
843.983808,37.22,45.470375,8.292987
844.921599,37.96,45.470411,8.293113
845.949829,37.59,45.470447,8.293239
846.979823,37.96,45.470482,8.293365
847.907883,37.78,45.470518,8.293491
848.943677,37.78,45.470555999999995,8.293614
849.973774,37.59,45.470597999999995,8.293735
850.905398,37.22,45.470639999999996,8.293854999999999
851.935743,37.59,45.470681,8.293975999999999
852.967986,37.410000000000004,45.47072,8.294098
853.895492,37.78,45.470759,8.294221
854.924031,37.410000000000004,45.470799,8.294342
855.95995,37.96,45.470842,8.294463
856.987837,37.78,45.470884,8.294583
857.915828,38.15,45.470926,8.294704
858.946082,37.410000000000004,45.470963999999995,8.294827
859.975883,37.59,45.471,8.29495
860.906025,37.410000000000004,45.471036,8.295074
861.940044,37.410000000000004,45.471070999999995,8.295197
862.974073,37.22,45.471106999999996,8.29532
863.906169,37.22,45.471143,8.295441
864.938131,37.22,45.47118,8.295563
865.969979,37.22,45.471219,8.295683
866.896145,37.04,45.471261,8.2958
867.932022,36.660000000000004,45.471303999999996,8.295914999999999
868.960185,37.04,45.471348,8.296032
869.988079,36.480000000000004,45.471388999999995,8.296149999999999
870.916083,37.22,45.471429,8.29627
871.946265,36.660000000000004,45.471467999999994,8.296391
872.974383,36.85,45.471508,8.296513
873.906315,36.660000000000004,45.471546,8.296635
874.936112,37.410000000000004,45.471585999999995,8.296757
875.964203,37.04,45.471624999999996,8.296878
876.892328,37.59,45.471667,8.296998
877.91833,37.04,45.471709,8.297117
878.954179,37.59,45.471751999999995,8.297236
879.98259,37.410000000000004,45.471796,8.297354
880.91425,37.59,45.471838999999996,8.297474
881.940416,37.78,45.471879,8.297595
882.970445,37.410000000000004,45.471916,8.297718
883.900469,37.78,45.471954,8.297839999999999
884.930318,37.410000000000004,45.471992,8.297962
885.958687,37.96,45.472031,8.298085
886.988335,37.04,45.472069999999995,8.298205
887.918586,37.59,45.47211,8.298324
888.946565,37.22,45.472151,8.298442
889.978594,37.78,45.472190999999995,8.298563999999999
890.91269,37.410000000000004,45.472229999999996,8.298684
891.946658,37.59,45.472268,8.298805
892.980793,37.04,45.472305999999996,8.298926999999999
893.910738,37.410000000000004,45.472342999999995,8.299049
894.940521,37.04,45.472381,8.299171
895.972788,37.410000000000004,45.472418,8.299294
896.901149,37.04,45.472457,8.299415
897.934816,36.85,45.472494999999995,8.299536
898.966777,37.410000000000004,45.472535,8.299657
899.896308,36.85,45.472573999999994,8.299776999999999
900.924598,37.59,45.472615,8.299897999999999
901.950642,36.660000000000004,45.472656,8.300018
902.982846,37.410000000000004,45.472694,8.300139999999999
903.912836,37.04,45.472732,8.300263
904.94686,37.78,45.472770999999995,8.300386999999999
905.979024,37.410000000000004,45.472809999999996,8.300509
906.912744,37.78,45.472849,8.30063
907.945011,37.410000000000004,45.472888,8.300753
908.974922,37.78,45.472927999999996,8.300875999999999
909.904937,37.78,45.472967,8.300998
910.931068,37.410000000000004,45.473006999999996,8.301117999999999
911.964833,37.78,45.473046,8.301241
912.898566,37.22,45.473085999999995,8.301361
913.931089,37.410000000000004,45.473124999999996,8.301482
914.964883,37.04,45.473163,8.301601999999999
915.896605,37.59,45.473203,8.301722999999999
916.925196,37.59,45.473242,8.301846
917.956913,37.96,45.473282999999995,8.301969
918.987126,37.78,45.473323,8.302090999999999
919.919216,38.15,45.473363,8.302214
920.950989,37.78,45.473400999999996,8.302337
921.987175,37.96,45.473441,8.30246
922.91703,38.15,45.473482,8.302583
923.945214,38.15,45.473521999999996,8.302704
924.97331,37.96,45.473563,8.302826
925.903257,37.22,45.473603,8.302946
926.935353,38.15,45.473642999999996,8.303068
927.965119,37.78,45.473682,8.303191
928.893314,38.15,45.47372,8.303314
929.925204,37.78,45.473757,8.303436999999999
930.955153,38.15,45.473791999999996,8.303561
931.985542,37.96,45.473831,8.303684
932.917212,37.96,45.473870999999995,8.303804999999999
933.947475,37.410000000000004,45.473911,8.303925
934.979351,37.59,45.473948,8.304046999999999
935.907486,37.59,45.473986,8.30417
936.937425,37.59,45.474025,8.304292
937.967288,37.410000000000004,45.474064999999996,8.304412
938.897508,37.04,45.474104999999994,8.304532
939.929316,36.85,45.474143,8.304651999999999
940.957667,36.660000000000004,45.474179,8.304772999999999
941.989542,37.22,45.474216999999996,8.304893999999999
942.919394,37.04,45.474258,8.305014
943.951321,37.410000000000004,45.474297,8.305136
944.97969,36.660000000000004,45.474334,8.305257
945.911602,37.22,45.474371,8.305379
946.943447,36.660000000000004,45.47441,8.305498
947.9697,37.22,45.474450999999995,8.305617
948.897898,36.660000000000004,45.474491,8.305735
949.925691,37.04,45.474529,8.305854
950.963523,36.660000000000004,45.474565999999996,8.305973
951.893836,37.22,45.474604,8.306094
952.92577,36.85,45.474644,8.306212
953.955782,37.04,45.474683999999996,8.306329999999999
954.987821,36.660000000000004,45.474720999999995,8.306448
955.91962,37.22,45.474757,8.306569
956.951925,36.85,45.474793999999996,8.30669
957.990088,37.22,45.474833,8.306809
958.919676,36.85,45.474871,8.306928
959.9457,37.04,45.474909,8.307046999999999
960.975906,36.85,45.474947,8.307167
961.903974,37.22,45.474987,8.307286999999999
962.940011,36.85,45.475026,8.307406
963.971797,37.04,45.475065,8.307525
964.90153,36.660000000000004,45.475103,8.307644
965.930193,37.04,45.475139999999996,8.307763999999999
966.965872,36.85,45.475178,8.307884
967.892148,37.410000000000004,45.475218,8.308004
968.923887,36.85,45.475258,8.308122
969.955884,37.22,45.475297,8.308240999999999
970.986171,37.22,45.475336,8.308361
971.923954,37.22,45.475373999999995,8.308481
972.953937,36.85,45.475411,8.308601
973.983985,37.22,45.475446999999996,8.308722
974.914237,36.660000000000004,45.475483999999994,8.308841
975.944024,36.85,45.475521,8.308958
976.970175,36.480000000000004,45.475561,8.309075
977.898641,37.04,45.475601,8.309192
978.930234,37.04,45.475640999999996,8.30931
979.964103,37.04,45.47568,8.309428
980.894349,36.480000000000004,45.475718,8.309543999999999
981.926104,36.85,45.475755,8.309663
982.954377,36.480000000000004,45.475792,8.309781
983.982318,36.85,45.475829,8.309902
984.910332,36.660000000000004,45.475865999999996,8.310020999999999
985.938167,37.22,45.475904,8.310141
986.968245,37.04,45.475941999999996,8.310260999999999
987.899946,37.22,45.47598,8.310379
988.926493,37.22,45.476019,8.310497
989.956533,37.59,45.476057999999995,8.310616
990.892027,37.410000000000004,45.476096999999996,8.310736
991.920569,37.59,45.476135,8.310857
992.952495,37.22,45.476172999999996,8.310977
993.982691,37.410000000000004,45.476212,8.311097
994.908932,37.04,45.47625,8.311216
995.938632,37.410000000000004,45.476289,8.311334
996.974406,37.22,45.476327,8.311454
997.90616,37.22,45.476363,8.311574
998.938651,36.85,45.476399,8.311695
999.970641,37.22,45.476434999999995,8.311816
1000.900644,37.04,45.476473999999996,8.311937
1001.934507,37.04,45.476512,8.312057
1002.966499,36.85,45.476551,8.312175
1003.894251,36.85,45.476589999999995,8.312294
1004.930709,37.22,45.47663,8.312413
1005.968574,37.22,45.476670999999996,8.312532
1006.902298,37.22,45.476712,8.31265
1007.930583,37.04,45.476752,8.312768
1008.958857,37.22,45.476791,8.312888
1009.988653,37.04,45.476828999999995,8.313008
1010.914893,36.85,45.476865,8.313127999999999
1011.94869,37.22,45.476901999999995,8.313248999999999
1012.976773,37.04,45.476938999999994,8.313369999999999
1013.906913,37.04,45.476979,8.313488999999999
1014.942713,37.04,45.477019999999996,8.313607
1015.972726,36.660000000000004,45.477059999999994,8.313725
1016.901011,36.85,45.477098999999995,8.313844
1017.930943,36.85,45.477137,8.313963
1018.9608,37.04,45.477174999999995,8.314084
1019.989064,36.660000000000004,45.477213,8.314203
1020.916813,36.85,45.477250999999995,8.314323
1021.945144,36.85,45.477289999999996,8.314444
1022.972869,37.22,45.477328,8.314565
1023.901492,37.04,45.477367,8.314684999999999
1024.931257,37.59,45.477408999999994,8.314805999999999
1025.96295,37.04,45.47745,8.314924999999999
1026.891108,37.59,45.477489999999996,8.315045
1027.923159,37.410000000000004,45.477531,8.315166
1028.953031,37.78,45.47757,8.315287999999999
1029.987381,37.59,45.477608,8.315411
1030.917026,37.96,45.477644999999995,8.315534
1031.945321,37.59,45.47768,8.315655999999999
1032.975081,37.96,45.477717999999996,8.315778
1033.907219,37.59,45.477756,8.315897999999999
1034.941108,37.78,45.477796,8.316018
1035.9714,37.59,45.477838,8.316137
1036.901307,37.78,45.47788,8.316257
1037.933137,37.78,45.477920999999995,8.316379
1038.96316,37.410000000000004,45.477959999999996,8.316499
1039.891364,37.410000000000004,45.477998,8.316621
1040.921181,37.04,45.478035,8.316741
1041.953457,37.22,45.478071,8.316861
1042.983273,37.04,45.478108999999996,8.316981
1043.909409,37.22,45.478148999999995,8.3171
1044.939463,36.480000000000004,45.478192,8.317215
1045.971482,36.85,45.478235999999995,8.317332
1046.903693,36.29,45.478279,8.317447
1047.935347,37.04,45.478322,8.317565
1048.967529,36.660000000000004,45.478365,8.317682999999999
1049.896025,37.04,45.478407,8.317801
1050.925666,36.660000000000004,45.478449999999995,8.317917
1051.953413,37.04,45.478494,8.318033
1052.979686,36.480000000000004,45.478542,8.318146
1053.911636,37.04,45.478592,8.318257
1054.945477,36.29,45.478643999999996,8.318363999999999
1055.971648,36.85,45.478697,8.31847
1056.903241,36.29,45.478752,8.318572999999999
1057.93375,36.480000000000004,45.478809,8.318674999999999
1058.963557,35.92,45.478865,8.318775
1059.893278,36.480000000000004,45.478922999999995,8.318876
1060.921787,36.480000000000004,45.478981999999995,8.318978999999999
1061.953608,36.85,45.479042,8.319080999999999
1062.981793,36.29,45.479102,8.319179
1063.909838,36.29,45.479166,8.319272
1064.945672,36.11,45.479233,8.31936
1065.974102,36.11,45.479302,8.319443
1066.901817,35.550000000000004,45.479372,8.319523
1067.935708,36.11,45.479445,8.3196
1068.969711,35.74,45.479518,8.319677
1069.901515,36.11,45.479592,8.319754
1070.929913,35.37,45.479665,8.319829
1071.959778,35.74,45.479738999999995,8.319903
1072.893524,35.37,45.479814,8.319973
1073.924025,35.37,45.479892,8.320036
1074.955858,35.0,45.479972,8.320091999999999
1075.986033,35.0,45.480053999999996,8.320143
